Well_ID,S.No,State,District,Taluka,Site,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality_New
W220930072453001,76,Gujarat,Bharuch,Jambusar,Sarod,22.167157,72.741028,2020,8.0,735.0,0,85.0,17.0,7.199999999999999,260.0,48.0,34.0,55.0,16.0,0.45,491.99999999999994,Excellent
W215500072473001,77,Gujarat,Bharuch,Amod,Roja Tankaria,21.911477,72.788385,2020,7.6,1739.0,0,326.0,34.0,5.8,530.0,132.0,49.0,131.0,46.0,0.36,1165.0,Moderate
W214100072490001,78,Gujarat,Bharuch,Bharuch,Kaswa,21.68166,72.815421,2020,7.9,450.0,0,35.0,13.0,4.7,160.0,44.00000000000001,12.0,37.0,3.3999999999999995,0.45,302.0,Excellent
W214228072495001,79,Gujarat,Bharuch,Bharuch,Navetha,21.701431,72.798201,2020,7.8,695.0,0,92.0,2.1,2.5,270.0,64.0,27.0,34.0,23.0,0.32,466.0,Excellent
W214200073001501,80,Gujarat,Bharuch,Bharuch,Bharuch,21.713126,73.000414,2020,7.8,2416.0,0,347.0,129.0,1.2,711.0,144.0,85.0,206.0,5.3,0.31,1619.0,Poor
W213700072552501,81,Gujarat,Bharuch,Ankleshwar,Sajod,21.444511,72.818195,2020,8.6,2035.0,72,191.0,58.0,11.0,190.0,16.0,36.0,400.0,2.8,3.2,1363.0,Good
W213530072493001,82,Gujarat,Bharuch,Hansot,Utraj,21.585656,72.82359,2020,7.9,475.0,0,28.0,17.0,2.8000000000000003,160.0,48.0,10.0,35.0,0.69,0.45,318.0,Excellent
W214522070371001,83,Gujarat,Bharuch,Hansot,Jetpur,21.495685,72.704826,2020,7.7,1750.0,0,347.0,67.0,11.0,369.99999999999994,96.0,32.0,240.0,36.0,0.86,1173.0,Moderate
W212822072483501,84,Gujarat,Bharuch,Hansot,Sahol,21.614072,72.910497,2020,7.6,5499.0,0,1390.0,360.00000000000006,298.0,1781.0,521.0,117.0,390.0,3.1,0.68,3684.0,Worst
W213115072491501,85,Gujarat,Bharuch,Hansot,Raymal,21.518961,72.819565,2020,7.9,3069.0,0,752.0,69.0,5.7,600.0,76.0,100.0,340.0,14.0,0.61,2056.0,Poor
